season,player_name,team,assists,played
2015-i,Jhony Cano,,10,20
2015-i,Harold Preciado,,9,26
2015-i,Yerson Candelo,,8,16
2015-i,Juan Fernando Caicedo,,8,19
2015-i,Andrés Ibargüen,,8,20
2015-i,Federico Insúa,,7,17
2015-i,Johan Arango,,6,16
2015-i,David Mackalister Silva,,6,19
2015-i,Yulián Mejía,,5,15
2015-i,Anderson Zapata,,5,16
2015-ii,Johan Arango,,9,
2015-ii,Vladimir Hernández,,6,
2015-ii,Macnelly Torres,,6,
2015-ii,Yimmi Chará,,5,
2015-ii,Jarlan Barrera,,5,
2015-ii,Maximiliano Núñez,,4,
2015-ii,Dayron Pérez,,4,
2015-ii,Christian Marrugo,,4,
2015-ii,Harold Preciado,,4,
2015-ii,James Sánchez,,4,
2016-i,Orlando Berrío,,8,
2016-i,Fabián Sambueza,,7,
2016-i,Christian Marrugo,,6,
2016-i,Sherman Cárdenas,,6,
2016-i,Antony Otero,,6,
2016-i,Daniel Buitrago,,6,
2016-i,Jonathan Álvarez,,5,
2016-i,Maicol Balanta,,5,
2016-i,Leonardo Castro,,4,
2016-i,Harrison Henao,,4,
2016-ii,John Freddy Pérez,,6,
2016-ii,Nelson Barahona,,6,
2016-ii,Juan Domínguez,,6,
2016-ii,Cristian Dájome,,5,
2016-ii,Jonathan Gómez,,5,
2016-ii,Fabián Sambueza,,5,
2016-ii,Maximiliano Núñez,,5,
2016-ii,Uvaldo Luna,,5,
2016-ii,Mateo Palacios,,5,
2016-ii,Mauricio Gómez,,4,
2017-i,Henry Rojas,,8,
2017-i,Kevin Londoño,,7,
2017-i,Miguel Medina,,7,
2017-i,Juan Fernando Quintero,,6,
2017-i,Cristian Martínez Borja,,6,
2017-i,Édison Toloza,,6,
2017-i,Nicolás Benedetti,,5,
2017-i,Kevin Balanta,,5,
2017-i,Mauricio Gómez,,4,
2017-i,Ángelo Rodríguez,,4,
2017-ii,Andrés Ricaurte,,7,
2017-ii,Sebastián Villa,,5,
2017-ii,Teófilo Gutiérrez,,4,
2017-ii,Yimmi Chará,,4,
2017-ii,Jhon Pajoy,,4,
2017-ii,Ayron del Valle,,4,
2017-ii,Stalin Motta,,4,
2017-ii,Nicolás Benedetti,,4,
2017-ii,Johan Arango,,4,
2017-ii,Daniel Hernández,,4,
2018-i,Ayron del Valle,,7,
2018-i,Yohandry Orozco,,6,
2018-i,Andrés Ricaurte,,5,
2018-i,Carlos Ramírez,,5,
2018-i,Jhon Pajoy,,5,
2018-i,Leonardo Castro,,4,
2018-i,Sebastián Villa,,4,
2018-i,Luis Sinisterra,,4,
2018-i,Álex Castro,,4,
2018-i,Sherman Cárdenas,,4,
2018-ii,Luis González,,7,
2018-ii,Andrés Ricaurte,,7,
2018-ii,Jarlan Barrera,,6,
2018-ii,Teófilo Gutiérrez,,6,
2018-ii,Yohandry Orozco,,6,
2018-ii,Juan Pablo Nieto,,6,
2018-ii,Sherman Cárdenas,,6,
2018-ii,Michael Rangel,,6,
2018-ii,Hansel Zapata,,5,
2018-ii,Diego Guastavino,,5,
2019-i,Yesus Cabrera,,10,
2019-i,Teófilo Gutiérrez,,6,
2019-i,Christian Marrugo,,6,
2019-i,Mariano Vázquez,,5,
2019-i,Álex Castro,,5,
2019-i,Víctor Cantillo,,4,
2019-i,David Mackalister Silva,,4,
2019-i,Déiber Caicedo,,4,
2019-i,Andrés Ricaurte,,4,
2019-i,Roque Caballero,,4,
2019-ii,Hansel Zapata,,7,
2019-ii,Teófilo Gutiérrez,,6,
2019-ii,Anderson Plata,,6,
2019-ii,John Hernández,,6,
2019-ii,Javier Reina,,6,
2019-ii,Jarlan Barrera,,5,
2019-ii,Carlos Sierra,,5,
2019-ii,Déiber Caicedo,,5,
2019-ii,Fabián Sambueza,,5,
2019-ii,Andrés Ricaurte,,5,
2020,Andrés Andrade,,9,
2020,Fabián Sambueza,,7,
2020,Yerson Candelo,,5,
2020,Rafael Carrascal,,5,
2020,Emerson Rodríguez,,5,
2020,Jáminton Campaz,,4,
2020,Agustín Palavecino,,4,
2020,Esneyder Mena,,4,
2020,Neider Barona,,4,
2020,Yeison Guzmán,,4,
2021-i,Ómar Bertel,,5,19
2021-i,Daniel Mantilla,,5,22
2021-i,Eduardo Sosa,,4,14
2021-i,Juan Pablo Zuluaga,,4,15
2021-i,Andrés Andrade,,4,16
2021-i,Gabriel Fuentes,,4,17
2021-i,Jefferson Duque,,4,17
2021-i,Yesus Cabrera,,4,17
2021-i,Esneyder Mena,,4,17
2021-i,Pablo Rojas,,4,17
2021-ii,Christian Marrugo,,9,20
2021-ii,Déinner Quiñones,,8,25
2021-ii,Danovis Banguero,,7,22
2021-ii,David Mackalister Silva,,7,24
2021-ii,Anderson Plata,,6,23
2021-ii,Daniel Ruiz,,6,24
2021-ii,Wilfrido de La Rosa,,6,24
2021-ii,Freddy Hinestroza,,6,25
2021-ii,Jhon Velásquez,,5,20
2021-ii,Jefferson Duque,,5,24
2022-i,Sherman Cárdenas,,9,24
2022-i,Mariano Vázquez,,6,16
2022-i,Yohandry Orozco,,6,19
2022-i,Christian Marrugo,,6,20
2022-i,David Camacho,,5,24
2022-i,Teófilo Gutiérrez,,4,13
2022-i,Anderson Plata,,4,15
2022-i,Adrián Ramos,,4,17
2022-i,Gilberto García,,4,17
2022-i,Sebastián Pedroza,,4,17
2022-ii,Auli Oliveros,,8,23
2022-ii,Andrés Ricaurte,,6,26
2022-ii,Harrison Mojica,,5,19
2022-ii,Matías Mier,,5,25
2022-ii,Esneyder Mena,,5,26
2022-ii,Andrés Ibargüen,,4,10
2022-ii,Jeison Lucumí,,4,15
2022-ii,Carmelo Valencia,,4,16
2022-ii,Mariano Vázquez,,4,17
2022-ii,Henry Mosquera,,4,20
2023-i,Darwin Quintero,,8,21
2023-i,Edwin Torres,,8,21
2023-i,Faber Gil,,5,19
2023-i,Rubén Manjarrés,,5,24
2023-i,Daniel Cataño,,4,17
2023-i,Johan Bocanegra,,4,18
2023-i,Adrián Ramos,,4,20
2023-i,David Silva,,4,20
2023-i,Jesús Rivas,,4,25
2023-i,Sebastián Támara,,4,26
2023-ii,Jhon Fredy Salazar,,9,24
2023-ii,Deiber Caicedo,,8,24
2023-ii,Javier Reina,,6,18
2023-ii,Yeison Guzmán,,6,25
2023-ii,Darwin Quintero,,5,21
2023-ii,Teófilo Gutiérrez,,4,17
2023-ii,Juan Carlos Pereira,,4,18
2023-ii,José Enamorado,,4,19
2023-ii,Edwin Torres,,4,20
2023-ii,Esneyder Mena,,4,20
2024-i,Johan Rojas,,7,23
2024-i,Emerson Batalla,,5,16
2024-i,Jhon Fredy Salazar,,5,19
2024-i,Darwin Quintero,,5,22
2024-i,Pablo Ceppelini,,4,14
2024-i,Sebastián Támara,,4,19
2024-i,Brayan Gil,,4,20
2024-i,Daniel Ruiz,,4,20
2024-i,Yojan Garcés,,3,7
