season,group,stage,team,position,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,bonus
1957,Grupo A,octogonal,medellin,1,3,3,0,0,13,4,9,6,
1957,Grupo A,octogonal,quindio,2,2,2,0,0,3,1,2,4,
1957,Grupo A,octogonal,magdalena,3,2,1,1,0,2,2,0,3,
1957,Grupo A,octogonal,pereira,4,3,1,0,2,6,6,0,2,
1957,Grupo A,octogonal,santafe,5,2,0,1,1,4,5,-1,1,
1957,Grupo A,octogonal,tolima,6,1,0,0,1,0,1,-1,0,
1957,Grupo A,octogonal,boca-cali,7,1,0,0,1,0,2,-2,0,
1957,Grupo A,octogonal,cucuta,8,2,0,0,2,2,11,-9,0,
1957,Grupo B,cuadrangulares,medellin,1,10,5,2,3,24,16,8,12,
1957,Grupo B,cuadrangulares,pereira,2,10,5,2,3,23,18,5,12,
1957,Grupo B,cuadrangulares,tolima,3,10,4,4,2,22,19,3,12,
1957,Grupo B,cuadrangulares,quindio,4,10,2,6,2,18,18,0,10,
1957,Grupo B,cuadrangulares,nacional,5,10,3,3,4,17,16,1,9,
1957,Grupo B,cuadrangulares,magdalena,6,10,0,5,5,10,27,-17,5,
1957,Grupo C,cuadrangulares,cucuta,1,10,6,2,2,19,14,5,14,
1957,Grupo C,cuadrangulares,bucaramanga,2,10,5,2,3,15,9,6,12,
1957,Grupo C,cuadrangulares,santafe,3,10,4,2,4,14,12,2,10,
1957,Grupo C,cuadrangulares,millonarios,4,10,4,2,4,13,15,-2,10,
1957,Grupo C,cuadrangulares,boca-cali,5,10,3,2,5,10,14,-4,8,
1957,Grupo C,cuadrangulares,america,6,10,3,0,7,10,17,-7,6,
1957,Grupo D,cuadrangulares,tolima,1,4,2,1,1,8,6,2,5,
1957,Grupo D,cuadrangulares,pereira,2,4,2,1,1,7,6,1,5,
1957,Grupo D,cuadrangulares,medellin,3,4,1,0,3,5,8,-3,2,
1969,Grupo A,triangulares,cali,1,4,3,1,0,7,4,3,7,
1969,Grupo A,triangulares,america,2,4,1,1,2,6,7,-1,3,
1969,Grupo A,triangulares,millonarios,3,4,1,0,3,2,4,-2,2,
1970,Grupo A,cuadrangular-final,cali,1,6,2,3,1,7,3,4,7,
1970,Grupo A,cuadrangular-final,junior,2,6,2,3,1,9,6,3,7,
1970,Grupo A,cuadrangular-final,santafe,3,6,1,5,0,8,6,2,7,
1970,Grupo A,cuadrangular-final,cucuta,4,6,0,3,3,5,14,-9,3,
1971,Grupo A,cuadrangular-final,santafe,1,6,2,3,1,8,6,2,7,
1971,Grupo A,cuadrangular-final,nacional,2,6,2,3,1,7,6,1,7,
1971,Grupo A,cuadrangular-final,millonarios,3,6,2,2,2,6,5,1,6,
1971,Grupo A,cuadrangular-final,cali,4,6,1,2,3,7,11,-4,4,
1972,Grupo A,finalizacion,cali,1,4,3,0,1,7,4,3,6,
1972,Grupo A,finalizacion,millonarios,2,4,2,1,1,6,4,2,5,
1972,Grupo A,finalizacion,nacional,3,4,0,1,3,1,6,-5,1,
1972,Grupo B,triangulares,millonarios,1,4,1,3,0,3,2,1,5,
1972,Grupo B,triangulares,cali,2,4,1,2,1,4,2,2,4,
1972,Grupo B,triangulares,junior,3,4,1,1,2,2,5,-3,3,
1973,Grupo A,triangulares,nacional,1,4,3,0,1,5,4,1,6,
1973,Grupo A,triangulares,millonarios,2,4,1,1,2,3,3,0,3,
1973,Grupo A,triangulares,cali,3,4,1,1,2,2,3,-1,3,
1973,Grupo B,triangulares,millonarios,1,2,1,1,0,3,2,1,3,
1973,Grupo B,triangulares,cali,2,2,0,1,1,2,3,-1,1,
1974,Grupo A,cuadrangulares,cali,1,21,11,8,2,29,13,16,30,
1974,Grupo A,cuadrangulares,america,2,21,10,7,4,22,16,6,27,
1974,Grupo A,cuadrangulares,millonarios,3,21,10,6,5,26,14,12,26,
1974,Grupo A,cuadrangulares,santafe,4,21,10,4,7,27,21,6,24,
1974,Grupo A,cuadrangulares,nacional,5,21,8,8,5,28,16,12,24,
1974,Grupo A,cuadrangulares,junior,6,21,8,6,7,26,24,2,22,
