id,season,stage,round,leg,date,home,away,home_goals,away_goals,penalties_home,penalties_away,status
1948-regular-r1-nacional-universidad,1948,regular,1,,,nacional,universidad,2,0,,,played
1948-regular-r1-america-medellin,1948,regular,1,,,america,medellin,4,0,,,played
1948-regular-r1-junior-cali,1948,regular,1,,,junior,cali,2,0,,,played
1948-regular-r1-caldas-santafe,1948,regular,1,,,caldas,santafe,1,1,,,played
1948-regular-r1-millonarios-once-deportivo,1948,regular,1,,,millonarios,once-deportivo,6,0,,,played
1948-regular-r2-once-deportivo-america,1948,regular,2,,,once-deportivo,america,2,1,,,played
1948-regular-r2-medellin-junior,1948,regular,2,,,medellin,junior,3,2,,,played
1948-regular-r2-universidad-millonarios,1948,regular,2,,,universidad,millonarios,3,2,,,played
1948-regular-r2-cali-caldas,1948,regular,2,,,cali,caldas,2,2,,,played
1948-regular-r2-santafe-nacional,1948,regular,2,,,santafe,nacional,5,2,,,played
1948-regular-r3-nacional-once-deportivo,1948,regular,3,,,nacional,once-deportivo,1,0,,,played
1948-regular-r3-junior-santafe,1948,regular,3,,,junior,santafe,2,4,,,played
1948-regular-r3-millonarios-cali,1948,regular,3,,,millonarios,cali,3,2,,,played
1948-regular-r3-caldas-medellin,1948,regular,3,,,caldas,medellin,4,1,,,played
1948-regular-r3-america-universidad,1948,regular,3,,,america,universidad,2,1,,,played
1948-regular-r4-cali-nacional,1948,regular,4,,,cali,nacional,4,1,,,played
1948-regular-r4-once-deportivo-junior,1948,regular,4,,,once-deportivo,junior,0,2,,,played
1948-regular-r4-medellin-millonarios,1948,regular,4,,,medellin,millonarios,3,7,,,played
1948-regular-r4-santafe-america,1948,regular,4,,,santafe,america,5,1,,,played
1948-regular-r4-universidad-caldas,1948,regular,4,,,universidad,caldas,2,2,,,played
1948-regular-r5-junior-america,1948,regular,5,,,junior,america,4,2,,,played
1948-regular-r5-millonarios-caldas,1948,regular,5,,,millonarios,caldas,7,4,,,played
1948-regular-r5-nacional-medellin,1948,regular,5,,,nacional,medellin,0,3,,,played
1948-regular-r5-once-deportivo-santafe,1948,regular,5,,,once-deportivo,santafe,2,5,,,played
1948-regular-r5-cali-universidad,1948,regular,5,,,cali,universidad,2,5,,,played
1948-regular-r6-caldas-junior,1948,regular,6,,,caldas,junior,3,1,,,played
1948-regular-r6-universidad-once-deportivo,1948,regular,6,,,universidad,once-deportivo,2,3,,,played
1948-regular-r6-santafe-millonarios,1948,regular,6,,,santafe,millonarios,5,3,,,played
1948-regular-r6-america-nacional,1948,regular,6,,,america,nacional,3,0,,,played
1948-regular-r6-medellin-cali,1948,regular,6,,,medellin,cali,0,1,,,played
1948-regular-r7-santafe-universidad,1948,regular,7,,,santafe,universidad,6,3,,,played
1948-regular-r7-junior-millonarios,1948,regular,7,,,junior,millonarios,5,2,,,played
1948-regular-r7-once-deportivo-medellin,1948,regular,7,,,once-deportivo,medellin,3,3,,,played
1948-regular-r7-cali-america,1948,regular,7,,,cali,america,4,3,,,played
1948-regular-r7-nacional-caldas,1948,regular,7,,,nacional,caldas,3,1,,,played
1948-regular-r8-medellin-santafe,1948,regular,8,,,medellin,santafe,2,0,,,played
1948-regular-r8-millonarios-nacional,1948,regular,8,,,millonarios,nacional,3,4,,,played
1948-regular-r8-caldas-america,1948,regular,8,,,caldas,america,1,3,,,played
1948-regular-r8-junior-universidad,1948,regular,8,,,junior,universidad,3,2,,,played
1948-regular-r8-cali-once-deportivo,1948,regular,8,,,cali,once-deportivo,2,2,,,played
1948-regular-r9-santafe-cali,1948,regular,9,,,santafe,cali,3,3,,,played
1948-regular-r9-nacional-junior,1948,regular,9,,,nacional,junior,1,1,,,played
1948-regular-r9-america-millonarios,1948,regular,9,,,america,millonarios,4,0,,,played
1948-regular-r9-once-deportivo-caldas,1948,regular,9,,,once-deportivo,caldas,3,5,,,played
1948-regular-r9-universidad-medellin,1948,regular,9,,,universidad,medellin,1,2,,,played
1948-regular-r10-universidad-nacional,1948,regular,10,,,universidad,nacional,0,0,,,played
1948-regular-r10-medellin-america,1948,regular,10,,,medellin,america,1,1,,,played
1948-regular-r10-cali-junior,1948,regular,10,,,cali,junior,2,4,,,played
1948-regular-r10-santafe-caldas,1948,regular,10,,,santafe,caldas,2,2,,,played
1948-regular-r10-once-deportivo-millonarios,1948,regular,10,,,once-deportivo,millonarios,2,1,,,played
1948-regular-r11-america-once-deportivo,1948,regular,11,,,america,once-deportivo,2,2,,,played
1948-regular-r11-junior-medellin,1948,regular,11,,,junior,medellin,8,3,,,played
1948-regular-r11-millonarios-universidad,1948,regular,11,,,millonarios,universidad,4,1,,,played
1948-regular-r11-caldas-cali,1948,regular,11,,,caldas,cali,2,3,,,played
1948-regular-r11-nacional-santafe,1948,regular,11,,,nacional,santafe,2,1,,,played
1948-regular-r12-once-deportivo-nacional,1948,regular,12,,,once-deportivo,nacional,2,2,,,played
1948-regular-r12-santafe-junior,1948,regular,12,,,santafe,junior,4,1,,,played
1948-regular-r12-cali-millonarios,1948,regular,12,,,cali,millonarios,2,4,,,played
1948-regular-r12-medellin-caldas,1948,regular,12,,,medellin,caldas,1,3,,,played
1948-regular-r12-universidad-america,1948,regular,12,,,universidad,america,3,2,,,played
1948-regular-r13-nacional-cali,1948,regular,13,,,nacional,cali,4,3,,,played
1948-regular-r13-junior-once-deportivo,1948,regular,13,,,junior,once-deportivo,6,0,,,played
1948-regular-r13-millonarios-medellin,1948,regular,13,,,millonarios,medellin,5,2,,,played
1948-regular-r13-america-santafe,1948,regular,13,,,america,santafe,1,2,,,played
1948-regular-r13-caldas-universidad,1948,regular,13,,,caldas,universidad,5,2,,,played
1948-regular-r14-america-junior,1948,regular,14,,,america,junior,3,0,,,played
1948-regular-r14-caldas-millonarios,1948,regular,14,,,caldas,millonarios,3,0,,,played
1948-regular-r14-medellin-nacional,1948,regular,14,,,medellin,nacional,2,1,,,played
1948-regular-r14-santafe-once-deportivo,1948,regular,14,,,santafe,once-deportivo,2,1,,,played
1948-regular-r14-universidad-cali,1948,regular,14,,,universidad,cali,1,2,,,played
1948-regular-r15-junior-caldas,1948,regular,15,,,junior,caldas,1,0,,,played
1948-regular-r15-once-deportivo-universidad,1948,regular,15,,,once-deportivo,universidad,3,1,,,played
1948-regular-r15-millonarios-santafe,1948,regular,15,,,millonarios,santafe,1,2,,,played
1948-regular-r15-nacional-america,1948,regular,15,,,nacional,america,3,2,,,played
1948-regular-r15-cali-medellin,1948,regular,15,,,cali,medellin,1,1,,,played
1948-regular-r16-universidad-santafe,1948,regular,16,,,universidad,santafe,1,4,,,played
1948-regular-r16-millonarios-junior,1948,regular,16,,,millonarios,junior,6,1,,,played
