id,name,team,position,shirt_number,age
jorge-soto,Jorge Soto,aguilas,GK,1,33
hector-arango,Héctor Arango,aguilas,GK,34,24
juan-hurtado,Juan Hurtado,aguilas,GK,,19
john-garcia,John García,aguilas,DF,2,37
jhon-ontaneda,Jhon Ontaneda,aguilas,DF,3,30
andres-mosquera-guardia,Andrés Mosquera Guardia,aguilas,DF,4,36
jhon-melendez,Jhon Meléndez,aguilas,DF,13,24
alberto-higgins,Alberto Higgins,aguilas,DF,20,21
dylan-lozano,Dylan Lozano,aguilas,DF,26,24
sebastian-rodriguez,Sebastián Rodríguez,aguilas,DF,28,25
nicolas-lara,Nicolás Lara,aguilas,DF,30,23
javier-mena,Javier Mena,aguilas,DF,32,21
luis-vasquez-aguilas,Luis Vasquez,aguilas,DF,,23
ivan-rojas,Iván Rojas,aguilas,MF,6,29
andres-ricaurte,Andrés Ricaurte,aguilas,MF,8,34
junior-noguera,Junior Noguera,aguilas,MF,10,24
angel-cortes,Ángel Cortés,aguilas,MF,14,20
fabian-charales,Fabián Charales,aguilas,MF,15,22
matias-ramirez,Matías Ramírez,aguilas,MF,16,27
frank-lozano,Frank Lozano,aguilas,MF,19,33
juan-esteban-avalo,Juan Esteban Ávalo,aguilas,MF,24,24
juan-camilo-roa,Juan Camilo Roa,aguilas,MF,25,31
carlos-londono,Carlos Londoño,aguilas,MF,27,19
eduar-arizalas,Eduar Arízalas,aguilas,FW,7,24
antony-vasquez,Antony Vásquez,aguilas,FW,9,24
tomas-blandon,Tomás Blandón,aguilas,FW,17,19
andres-carreno,Andrés Carreño,aguilas,FW,18,23
ricardo-marquez,Ricardo Márquez,aguilas,FW,21,28
johan-wallens,Johan Wallens,alianza,GK,1,34
juan-chaverra,Juan Chaverra,alianza,GK,12,33
antonio-simancas,Antonio Simancas,alianza,GK,13,19
eduar-esteban,Eduar Esteban,alianza,GK,40,26
kevin-moreno,Kevin Moreno,alianza,DF,3,26
kevin-aponza,Kevin Aponzá,alianza,DF,4,20
pedro-franco,Pedro Franco,alianza,DF,5,35
yilson-rosales,Yilson Rosales,alianza,DF,16,25
jesus-figueroa,Jesús Figueroa,alianza,DF,22,30
israel-alba,Israel Alba,alianza,DF,23,31
eduard-banguero,Eduard Banguero,alianza,DF,24,25
jhildrey-lasso,Jhildrey Lasso,alianza,DF,26,24
juan-viveros,Juan Viveros,alianza,DF,32,22
ever-meza,Ever Meza,alianza,MF,6,26
jair-castillo,Jair Castillo,alianza,MF,7,29
deinner-quinones,Déinner Quiñones,alianza,MF,10,31
sergio-aponza,Sergio Aponzá,alianza,MF,11,21
charly-villegas,Charly Villegas,alianza,MF,14,21
carlos-esparragoza,Carlos Esparragoza,alianza,MF,15,27
fabian-cantillo,Fabian Cantillo,alianza,MF,21,28
josy-perez,Josy Pérez,alianza,MF,25,26
yeiner-londono,Yeiner Londoño,alianza,MF,27,25
wiston-fernandez,Wiston Fernández,alianza,MF,55,28
leyner-palacios,Leyner Palacios,alianza,MF,88,22
