season,player_name,team,goals,played
1948,Alfredo Castillo,millonarios,31,
1948,Jesús María Lires López,santafe,20,
1948,Hermenegildo Germán Antón,santafe,18,
1948,Pedro Cabillón,millonarios,14,
1948,Jaime Cardona,caldas,14,
1949,Pedro Cabillón,millonarios,42,
1949,Hermenegildo Germán Antón,santafe,30,
1949,Valeriano López,cali,24,
1949,Carlos Arango,caldas,19,
1949,Guillermo Barbadillo,cali,19,
1950,Casimiro Ávalos,pereira,27,
1950,Julio Ávila,caldas,24,
1950,Alfredo Di Stéfano,millonarios,23,
1950,Alejandrino Genes,boca-cali,21,
1950,Fernando Walter,cali,21,
1950,Ramón Alberto Villaverde,cucuta,20,
1951,Alfredo Di Stéfano,millonarios,32,
1951,Julio Ávila,caldas,30,
1951,Antonio Báez,millonarios,28,
1951,Alejandrino Genes,boca-cali,26,
1951,Ángel Berni,boca-cali,23,
1951,Bibiano Zapirain,cucuta,22,
1951,Elger Alarcón,quindio,22,
1952,Alfredo Di Stéfano,millonarios,19,
1952,Carlos Gambina,junior,18,
1952,Raúl Dimarco,junior,17,
1952,Mario Garelli,quindio,17,
1952,Francisco Solano Patiño,boca-cali,16,
1952,Hermenegildo Antón,santafe,16,
1952,Jaime Gutiérrez,quindio,16,
1952,Ramón Alberto Villaverde,cucuta,16,
1953,Mario Garelli,quindio,20,
1953,Rubén Padín,santafe,19,
1953,Felipe Marino,sporting,17,
1953,Abraham González,cucuta,16,
1953,Rubí Cerioni,cali,16,
1953,Francisco Solano Patiño,boca-cali,14,
1953,Juan Carlos Toja Pintos,cucuta,14,
1953,Elger Alarcón,quindio,14,
1954,Carlos Gambina,nacional,21,
1954,Antonio Sacco,medellin,19,
1954,Mario Garelli,quindio,14,
1954,Alfredo Mosquera,nacional,11,
1954,Alberto Cazaubón,quindio,11,
1954,Ruben Padín,atletico-manizales,11,
1955,Felipe Marino,medellin,22,
1955,Jorge Roa,millonarios,21,
1955,Fernando Rengifo,boca-cali,20,
1955,Alfredo Castillo,millonarios,17,
1955,Humberto Álvarez,nacional,16,
1955,Orlando Larraz,medellin,14,
1956,Jaime Gutiérrez,quindio,21,
1956,José Vicente Grecco,medellin,20,
1956,Casimiro Ávalos,pereira,17,
1956,Felipe Marino,nacional,17,
1956,Alfredo Castillo,millonarios,16,
1956,Carlos Arango,cucuta,15,
1956,Alfredo Mosquera,tolima,15,
1956,Bibiano Zapirain,cucuta,15,
1957,José Vicente Grecco,medellin,30,
1957,Jaime Gutiérrez,medellin,23,
1957,Roberto Oscar Rolando,boca-cali,23,
1957,Wálter Marcolini,quindio,23,
1958,José Américo Montanini,bucaramanga,36,
1958,Wálter Marcolini,quindio,35,
1958,Norberto Sotelo,atletico-manizales,29,
1959,Felipe Marino,medellin,35,
1959,Oswaldo Panzutto,santafe,26,
1959,Eusebio Escobar,pereira,25,
1960,Walter Marcolini,cali,30,
1960,Américo Castromán,cali,25,
1960,Oswaldo Panzutto,santafe,25,
1961,Alberto Perazzo,santafe,32,
1961,Juan Vairo,medellin,30,
1961,Roberto Mirabelli,caldas,23,
1962,José Omar Verdún,cucuta,36,
1962,Oscar Luis Mottura,medellin,21,
1962,José Vicente Grecco,medellin,19,
1963,Omar Lorenzo Devanni,bucaramanga,36,
1963,José Omar Verdún,cucuta,35,
1963,Oswaldo Galarza,caldas,29,
1964,Omar Lorenzo Devanni,magdalena,28,
1964,José Marín,santafe,27,
1964,Edgardo López,tolima,24,
1964,José Verdún,cucuta,24,
1965,Perfecto Rodríguez,medellin,38,
1965,Jorge Ramírez Gallego,cali,32,
1965,Efraín Padilla,pereira,29,
1966,Omar Lorenzo Devanni,santafe,31,
1966,Oswaldo Pérez,caldas,29,
1966,Walter Sossa,cucuta,28,
1967,José María Ferrero,millonarios,38,
1967,Julio San Lorenzo,america,24,
1967,Ramón Rodríguez,pereira,23,
1968,José María Ferrero,millonarios,32,
1968,Alfonso Cañón,santafe,25,
1968,Jorge Ramírez Gallego,cali,25,
1968,Walter Sossa,bucaramanga,24,
1968,Benecio Ferreyra,cali,23,
1969,Hugo Horacio Lóndero,america,24,
1969,Walter Sossa,santafe,23,
1969,Pedro Prospitti,santafe,23,
1969,Juan Carlos Lallana,cali,21,
1969,Eduardo Curia,america,20,
1970,José María Ferrero,cucuta,27,
1970,Walter Sossa,santafe,27,
1970,Armando Miranda,junior,24,
1971,Hugo Horacio Lóndero,cucuta,30,
1971,Apolinar Paniagua,pereira,30,
1971,Néstor Gilberto Subiat,millonarios,27,
1972,Hugo Horacio Lóndero,cucuta,27,
1972,Jorge Héctor Olmedo,cali,24,
1972,Nelson Silva Pacheco,quindio,21,
1973,Nelson Silva Pacheco,cucuta,36,
1973,Apolinar Paniagua,millonarios,31,
1973,Hugo Horacio Lóndero,nacional,29,
1974,Víctor Ephanor,junior,33,
1974,Arístides del Puerto,cali,32,
1974,Hugo Horacio Lóndero,nacional,27,
1975,Jorge Ramón Cáceres,pereira,35,
1975,Víctor Ephanor,junior,28,
1975,Miguel Ángel Converti,millonarios,27,
1975,Carlos Alberto Pandolfi,santafe,23,
1975,Eduardo Guillio,bucaramanga,23,
