id,year,tournament,status,champion,start_date,end_date,n_teams,n_matches,n_played,wikipedia
1948,1948,liga,completed,santafe,,,10,90,90,Campeonato de Fútbol Profesional Colombiano 1948
1949,1949,liga,completed,millonarios,,,14,182,173,Campeonato colombiano 1949
1950,1950,liga,completed,caldas,,,16,238,238,Campeonato colombiano 1950
1951,1951,liga,completed,millonarios,,,18,306,306,Campeonato colombiano 1951
1952,1952,liga,completed,millonarios,,,15,212,211,Campeonato colombiano 1952
1953,1953,liga,completed,millonarios,,,12,121,121,Campeonato colombiano 1953
1954,1954,liga,completed,nacional,,,10,80,80,Campeonato colombiano 1954
1955,1955,liga,completed,medellin,,,10,90,90,Campeonato colombiano 1955
1956,1956,liga,completed,quindio,,,12,131,131,Campeonato colombiano 1956
1957,1957,liga,completed,medellin,,,12,175,173,Campeonato colombiano 1957
1958,1958,liga,completed,santafe,,,10,90,90,Campeonato colombiano 1958
1959,1959,liga,completed,millonarios,,,12,132,132,Campeonato colombiano 1959
1960,1960,liga,completed,santafe,,,12,132,132,Campeonato colombiano 1960
1961,1961,liga,completed,millonarios,,,12,264,264,Campeonato colombiano 1961
1962,1962,liga,completed,millonarios,,,12,264,264,Campeonato colombiano 1962
1963,1963,liga,completed,millonarios,,,13,144,144,Campeonato colombiano 1963
1964,1964,liga,completed,millonarios,,,13,311,311,Campeonato colombiano 1964
1965,1965,liga,completed,cali,,,13,312,312,Campeonato colombiano 1965
1966,1966,liga,completed,santafe,,,14,350,350,Campeonato colombiano 1966
1967,1967,liga,completed,cali,,,14,336,336,Campeonato colombiano 1967
1968,1968,liga,completed,magdalena,,,14,368,368,Campeonato colombiano 1968
1969,1969,liga,completed,cali,,,14,364,364,Campeonato colombiano 1969
1970,1970,liga,completed,cali,,,14,363,363,Campeonato colombiano 1970
1971,1971,liga,completed,santafe,,,14,365,365,Campeonato colombiano 1971
1972,1972,liga,completed,millonarios,,,14,364,364,Campeonato colombiano 1972
1973,1973,liga,completed,nacional,,,14,338,338,Campeonato colombiano 1973
1974,1974,liga,completed,cali,,,14,352,352,Campeonato colombiano 1974
1975,1975,liga,completed,santafe,,,14,358,358,Campeonato colombiano 1975
1976,1976,liga,completed,nacional,,,14,322,322,Campeonato colombiano 1976
1977,1977,liga,completed,junior,,,14,352,352,Campeonato colombiano 1977
1978,1978,liga,completed,millonarios,,,14,357,357,Campeonato colombiano 1978
1979,1979,liga,completed,america,,,14,371,371,Campeonato colombiano 1979
1980,1980,liga,completed,junior,,,14,332,332,Campeonato colombiano 1980
1981,1981,liga,completed,nacional,,,14,322,322,Campeonato colombiano 1981
1982,1982,liga,completed,america,,,14,443,443,Campeonato colombiano 1982
1983,1983,liga,completed,america,,,14,389,389,Campeonato colombiano 1983
1984,1984,liga,completed,america,,,14,332,332,Campeonato colombiano 1984
1985,1985,liga,completed,america,,,14,332,332,Campeonato colombiano 1985
1986,1986,liga,completed,america,,,14,25,21,Campeonato colombiano 1986
1987,1987,liga,completed,millonarios,,,14,0,0,Campeonato colombiano 1987
1988,1988,liga,completed,millonarios,1988-02-03,1988-12-12,15,219,219,Campeonato colombiano 1988
1989,1989,liga,cancelled,,1989-03-05,1989-11-16,15,93,89,Campeonato colombiano 1989
1990,1990,liga,completed,america,1990-04-01,1990-12-16,15,336,335,Campeonato colombiano 1990
1991,1991,liga,completed,nacional,,,15,0,0,Campeonato colombiano 1991
1992,1992,liga,completed,america,,,16,0,0,Campeonato colombiano 1992
1993,1993,liga,completed,junior,,,16,0,0,Campeonato colombiano 1993
1994,1994,liga,completed,nacional,,,16,12,12,Campeonato colombiano 1994
1995-96,1995,liga,completed,cali,1995-08-20,1996-06-20,16,240,240,Campeonato colombiano 1995-96
1995,1995,liga,completed,junior,1995-02-26,1995-06-14,16,0,0,Campeonato colombiano 1995
1996-97,1996,liga,completed,america,,,16,246,246,Campeonato colombiano 1996-97
1998,1998,liga,completed,cali,,,16,2,2,Campeonato colombiano 1998
1999,1999,liga,completed,nacional,,,16,28,28,Campeonato colombiano 1999
