id,name,short_name,city,stadium,capacity,founded,primary_color,secondary_color,wikipedia,active
aguilas,Águilas Doradas,Águilas,Medellín,Cincuentenario,4000,2008,#EAAA00,#000000,https://es.wikipedia.org/wiki//wiki/%C3%81guilas_Doradas,true
alianza,Alianza Valledupar,Alianza,Valledupar,Armando Maestre Pavajeau,11500,2024,#FFC72C,#000000,https://es.wikipedia.org/wiki//wiki/Alianza_Valledupar,true
america,América de Cali,América,Cali,Olímpico Pascual Guerrero,37899,1927,#E30613,#FFFFFF,https://es.wikipedia.org/wiki//wiki/Am%C3%A9rica_de_Cali,true
bucaramanga,Atlético Bucaramanga,Bucaramanga,Bucaramanga,Américo Montanini,25000,1949,#FFC72C,#006F44,https://es.wikipedia.org/wiki//wiki/Atl%C3%A9tico_Bucaramanga,true
caldas,Once Caldas,Once Caldas,Manizales,Palogrande,28678,1947,#FFFFFF,#DA291C,https://es.wikipedia.org/wiki//wiki/Once_Caldas,true
cali,Deportivo Cali,Cali,Cali,Deportivo Cali,44000,1912,#00954C,#FFFFFF,https://es.wikipedia.org/wiki//wiki/Deportivo_Cali,true
chico,Boyacá Chicó,Chicó,Tunja,La Independencia,20630,2002,#0B5ED7,#FFFFFF,https://es.wikipedia.org/wiki//wiki/Boyac%C3%A1_Chic%C3%B3,true
cucuta,Cúcuta Deportivo,Cúcuta,Cúcuta,General Santander,42000,1924,#D6001C,#000000,https://es.wikipedia.org/wiki//wiki/C%C3%BAcuta_Deportivo,true
fortaleza,Fortaleza CEIF,Fortaleza,Bogotá,Metropolitano de Techo,10000,2010,#0B4EA2,#FFFFFF,https://es.wikipedia.org/wiki//wiki/Fortaleza_CEIF,true
internacional-bogota,Internacional de Bogotá,Internacional,Bogotá,Metropolitano de Techo,10000,2025,,,https://es.wikipedia.org/wiki//wiki/Internacional_de_Bogot%C3%A1,true
jaguares,Jaguares de Córdoba,Jaguares,Montería,Jaraguay,12000,2012,#C8102E,#000000,https://es.wikipedia.org/wiki//wiki/Jaguares_de_C%C3%B3rdoba,true
junior,Junior,Junior,Barranquilla,Metropolitano Roberto Meléndez Municipal Romelio Martínez,466908600,1924,#C8102E,#FFFFFF,https://es.wikipedia.org/wiki//wiki/Junior_de_Barranquilla,true
llaneros,Llaneros,Llaneros,Villavicencio,Bello Horizonte - Rey Pelé,18000,2012,#00843D,#FFFFFF,https://es.wikipedia.org/wiki//wiki/Club_Llaneros,true
medellin,Independiente Medellín,Medellín,Medellín,Atanasio Girardot,46000,1913,#E4032E,#0B4EA2,https://es.wikipedia.org/wiki//wiki/Deportivo_Independiente_Medell%C3%ADn,true
